"Region Code","Timestamp (Hour Ending)","NY Demand (MWh)"
US48,"3/20/2020, Eastern Time",367884
US48,"3/20/2020, Eastern Time",
US48,"3/21/2020, Eastern Time",343949
US48,"3/21/2020, Eastern Time",
US48,"3/22/2020, Eastern Time",352376
US48,"3/22/2020, Eastern Time",
US48,"3/23/2020, Eastern Time",395706
US48,"3/23/2020, Eastern Time",
US48,"3/24/2020, Eastern Time",371179
US48,"3/24/2020, Eastern Time",
US48,"3/25/2020, Eastern Time",374212
US48,"3/25/2020, Eastern Time",
US48,"3/26/2020, Eastern Time",355344
US48,"3/26/2020, Eastern Time",
US48,"3/27/2020, Eastern Time",339755
US48,"3/27/2020, Eastern Time",
US48,"3/28/2020, Eastern Time",347609
US48,"3/28/2020, Eastern Time",
US48,"3/29/2020, Eastern Time",344658
US48,"3/29/2020, Eastern Time",
US48,"3/30/2020, Eastern Time",361216
US48,"3/30/2020, Eastern Time",
US48,"3/31/2020, Eastern Time",361358
US48,"3/31/2020, Eastern Time",
US48,"4/1/2020, Eastern Time",349971
US48,"4/1/2020, Eastern Time",
US48,"4/2/2020, Eastern Time",351628
US48,"4/2/2020, Eastern Time",
US48,"4/3/2020, Eastern Time",358318
US48,"4/3/2020, Eastern Time",
US48,"4/4/2020, Eastern Time",328054
US48,"4/4/2020, Eastern Time",
US48,"4/5/2020, Eastern Time",321898
US48,"4/5/2020, Eastern Time",
US48,"4/6/2020, Eastern Time",333526
US48,"4/6/2020, Eastern Time",
US48,"4/7/2020, Eastern Time",331020
US48,"4/7/2020, Eastern Time",
US48,"4/8/2020, Eastern Time",338419
US48,"4/8/2020, Eastern Time",
US48,"4/9/2020, Eastern Time",352504
US48,"4/9/2020, Eastern Time",
US48,"4/10/2020, Eastern Time",357981
US48,"4/10/2020, Eastern Time",
US48,"4/11/2020, Eastern Time",333834
US48,"4/11/2020, Eastern Time",
US48,"4/12/2020, Eastern Time",324822
US48,"4/12/2020, Eastern Time",
US48,"4/13/2020, Eastern Time",348042
US48,"4/13/2020, Eastern Time",
US48,"4/14/2020, Eastern Time",340531
US48,"4/14/2020, Eastern Time",
US48,"4/15/2020, Eastern Time",345929
US48,"4/15/2020, Eastern Time",
US48,"4/16/2020, Eastern Time",353853
US48,"4/16/2020, Eastern Time",
US48,"4/17/2020, Eastern Time",356150
US48,"4/17/2020, Eastern Time",
US48,"4/18/2020, Eastern Time",345884
US48,"4/18/2020, Eastern Time",
US48,"4/19/2020, Eastern Time",325658
US48,"4/19/2020, Eastern Time",
US48,"4/20/2020, Eastern Time",339649
US48,"4/20/2020, Eastern Time",
US48,"4/21/2020, Eastern Time",358177
US48,"4/21/2020, Eastern Time",
US48,"4/22/2020, Eastern Time",359643
US48,"4/22/2020, Eastern Time",
US48,"4/23/2020, Eastern Time",361849
US48,"4/23/2020, Eastern Time",
US48,"4/24/2020, Eastern Time",358646
US48,"4/24/2020, Eastern Time",
US48,"4/25/2020, Eastern Time",317807
US48,"4/25/2020, Eastern Time",
US48,"4/26/2020, Eastern Time",335571
US48,"4/26/2020, Eastern Time",
