"Region Code","Timestamp (Hour Ending)","NY Demand (MWh)"
US48,"1/1/2019, Eastern Time",380514
US48,"1/1/2019, Eastern Time",
US48,"1/2/2019, Eastern Time",430733
US48,"1/2/2019, Eastern Time",
US48,"1/3/2019, Eastern Time",431709
US48,"1/3/2019, Eastern Time",
US48,"1/4/2019, Eastern Time",424798
US48,"1/4/2019, Eastern Time",
US48,"1/5/2019, Eastern Time",400156
US48,"1/5/2019, Eastern Time",
US48,"1/6/2019, Eastern Time",398117
US48,"1/6/2019, Eastern Time",
US48,"1/7/2019, Eastern Time",454153
US48,"1/7/2019, Eastern Time",
US48,"1/8/2019, Eastern Time",435613
US48,"1/8/2019, Eastern Time",
US48,"1/9/2019, Eastern Time",432395
US48,"1/9/2019, Eastern Time",
US48,"1/10/2019, Eastern Time",454472
US48,"1/10/2019, Eastern Time",
US48,"1/11/2019, Eastern Time",467493
US48,"1/11/2019, Eastern Time",
US48,"1/12/2019, Eastern Time",443034
US48,"1/12/2019, Eastern Time",
US48,"1/13/2019, Eastern Time",435061
US48,"1/13/2019, Eastern Time",
US48,"1/14/2019, Eastern Time",467628
US48,"1/14/2019, Eastern Time",
US48,"1/15/2019, Eastern Time",461729
US48,"1/15/2019, Eastern Time",
US48,"1/16/2019, Eastern Time",454576
US48,"1/16/2019, Eastern Time",
US48,"1/17/2019, Eastern Time",463038
US48,"1/17/2019, Eastern Time",
US48,"1/18/2019, Eastern Time",452381
US48,"1/18/2019, Eastern Time",
US48,"1/19/2019, Eastern Time",435027
US48,"1/19/2019, Eastern Time",
US48,"1/20/2019, Eastern Time",446246
US48,"1/20/2019, Eastern Time",
US48,"1/21/2019, Eastern Time",513742
US48,"1/21/2019, Eastern Time",
US48,"1/22/2019, Eastern Time",500869
US48,"1/22/2019, Eastern Time",
US48,"1/23/2019, Eastern Time",465207
US48,"1/23/2019, Eastern Time",
US48,"1/24/2019, Eastern Time",440886
US48,"1/24/2019, Eastern Time",
US48,"1/25/2019, Eastern Time",446931
US48,"1/25/2019, Eastern Time",
US48,"1/26/2019, Eastern Time",434167
US48,"1/26/2019, Eastern Time",
US48,"1/27/2019, Eastern Time",418584
US48,"1/27/2019, Eastern Time",
US48,"1/28/2019, Eastern Time",459961
US48,"1/28/2019, Eastern Time",
US48,"1/29/2019, Eastern Time",467725
US48,"1/29/2019, Eastern Time",
US48,"1/30/2019, Eastern Time",486581
US48,"1/30/2019, Eastern Time",
US48,"1/31/2019, Eastern Time",524262
US48,"1/31/2019, Eastern Time",
US48,"2/1/2019, Eastern Time",509951
US48,"2/1/2019, Eastern Time",
US48,"2/2/2019, Eastern Time",463806
US48,"2/2/2019, Eastern Time",
US48,"2/3/2019, Eastern Time",411533
US48,"2/3/2019, Eastern Time",
US48,"2/4/2019, Eastern Time",417144
US48,"2/4/2019, Eastern Time",
US48,"2/5/2019, Eastern Time",414351
US48,"2/5/2019, Eastern Time",
US48,"2/6/2019, Eastern Time",429215
US48,"2/6/2019, Eastern Time",
US48,"2/7/2019, Eastern Time",428102
US48,"2/7/2019, Eastern Time",
US48,"2/8/2019, Eastern Time",428577
US48,"2/8/2019, Eastern Time",
US48,"2/9/2019, Eastern Time",433634
US48,"2/9/2019, Eastern Time",
US48,"2/10/2019, Eastern Time",421858
US48,"2/10/2019, Eastern Time",
US48,"2/11/2019, Eastern Time",448233
US48,"2/11/2019, Eastern Time",
US48,"2/12/2019, Eastern Time",467361
US48,"2/12/2019, Eastern Time",
US48,"2/13/2019, Eastern Time",448395
US48,"2/13/2019, Eastern Time",
US48,"2/14/2019, Eastern Time",437086
US48,"2/14/2019, Eastern Time",
US48,"2/15/2019, Eastern Time",423845
US48,"2/15/2019, Eastern Time",
US48,"2/16/2019, Eastern Time",399493
US48,"2/16/2019, Eastern Time",
US48,"2/17/2019, Eastern Time",403316
US48,"2/17/2019, Eastern Time",
US48,"2/18/2019, Eastern Time",435976
US48,"2/18/2019, Eastern Time",
US48,"2/19/2019, Eastern Time",453814
US48,"2/19/2019, Eastern Time",
US48,"2/20/2019, Eastern Time",462907
US48,"2/20/2019, Eastern Time",
US48,"2/21/2019, Eastern Time",427322
US48,"2/21/2019, Eastern Time",
US48,"2/22/2019, Eastern Time",421860
US48,"2/22/2019, Eastern Time",
US48,"2/23/2019, Eastern Time",400131
US48,"2/23/2019, Eastern Time",
US48,"2/24/2019, Eastern Time",394968
US48,"2/24/2019, Eastern Time",
US48,"2/25/2019, Eastern Time",441767
US48,"2/25/2019, Eastern Time",
US48,"2/26/2019, Eastern Time",454746
US48,"2/26/2019, Eastern Time",
US48,"2/27/2019, Eastern Time",468948
US48,"2/27/2019, Eastern Time",
US48,"2/28/2019, Eastern Time",453558
US48,"2/28/2019, Eastern Time",
US48,"3/1/2019, Eastern Time",444787
US48,"3/1/2019, Eastern Time",
US48,"3/2/2019, Eastern Time",413601
US48,"3/2/2019, Eastern Time",
US48,"3/3/2019, Eastern Time",400924
US48,"3/3/2019, Eastern Time",
US48,"3/4/2019, Eastern Time",440819
US48,"3/4/2019, Eastern Time",
US48,"3/5/2019, Eastern Time",456776
US48,"3/5/2019, Eastern Time",
US48,"3/6/2019, Eastern Time",470853
US48,"3/6/2019, Eastern Time",
US48,"3/7/2019, Eastern Time",470917
US48,"3/7/2019, Eastern Time",
US48,"3/8/2019, Eastern Time",450122
US48,"3/8/2019, Eastern Time",
US48,"3/9/2019, Eastern Time",403772
US48,"3/9/2019, Eastern Time",
US48,"3/10/2019, Eastern Time",392016
US48,"3/10/2019, Eastern Time",
US48,"3/11/2019, Eastern Time",419295
US48,"3/11/2019, Eastern Time",
US48,"3/12/2019, Eastern Time",426132
US48,"3/12/2019, Eastern Time",
US48,"3/13/2019, Eastern Time",424655
US48,"3/13/2019, Eastern Time",
US48,"3/14/2019, Eastern Time",403167
US48,"3/14/2019, Eastern Time",
US48,"3/15/2019, Eastern Time",394628
US48,"3/15/2019, Eastern Time",
US48,"3/16/2019, Eastern Time",379843
