Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"3/21/2018, Eastern Time",441071
US48,"3/21/2018, Eastern Time",
US48,"3/22/2018, Eastern Time",426749
US48,"3/22/2018, Eastern Time",
US48,"3/23/2018, Eastern Time",417312
US48,"3/23/2018, Eastern Time",
US48,"3/24/2018, Eastern Time",386286
US48,"3/24/2018, Eastern Time",
US48,"3/25/2018, Eastern Time",387996
US48,"3/25/2018, Eastern Time",
US48,"3/26/2018, Eastern Time",413809
US48,"3/26/2018, Eastern Time",
US48,"3/27/2018, Eastern Time",420906
US48,"3/27/2018, Eastern Time",
US48,"3/28/2018, Eastern Time",412660
US48,"3/28/2018, Eastern Time",
US48,"3/29/2018, Eastern Time",407913
US48,"3/29/2018, Eastern Time",
US48,"3/30/2018, Eastern Time",393169
US48,"3/30/2018, Eastern Time",
US48,"3/31/2018, Eastern Time",367803
US48,"3/31/2018, Eastern Time",
US48,"4/1/2018, Eastern Time",358826
US48,"4/1/2018, Eastern Time",
US48,"4/2/2018, Eastern Time",407452
US48,"4/2/2018, Eastern Time",
US48,"4/3/2018, Eastern Time",419732
US48,"4/3/2018, Eastern Time",
US48,"4/4/2018, Eastern Time",409368
US48,"4/4/2018, Eastern Time",
US48,"4/5/2018, Eastern Time",417277
US48,"4/5/2018, Eastern Time",
US48,"4/6/2018, Eastern Time",418458
US48,"4/6/2018, Eastern Time",
US48,"4/7/2018, Eastern Time",386171
US48,"4/7/2018, Eastern Time",
US48,"4/8/2018, Eastern Time",386966
US48,"4/8/2018, Eastern Time",
US48,"4/9/2018, Eastern Time",414900
US48,"4/9/2018, Eastern Time",
US48,"4/10/2018, Eastern Time",413614
US48,"4/10/2018, Eastern Time",
US48,"4/11/2018, Eastern Time",407435
US48,"4/11/2018, Eastern Time",
US48,"4/12/2018, Eastern Time",402357
US48,"4/12/2018, Eastern Time",
US48,"4/13/2018, Eastern Time",391144
US48,"4/13/2018, Eastern Time",
US48,"4/14/2018, Eastern Time",365423
US48,"4/14/2018, Eastern Time",
US48,"4/15/2018, Eastern Time",381407
US48,"4/15/2018, Eastern Time",
US48,"4/16/2018, Eastern Time",414948
US48,"4/16/2018, Eastern Time",
US48,"4/17/2018, Eastern Time",411438
US48,"4/17/2018, Eastern Time",
US48,"4/18/2018, Eastern Time",406486
US48,"4/18/2018, Eastern Time",
US48,"4/19/2018, Eastern Time",410301
US48,"4/19/2018, Eastern Time",
US48,"4/20/2018, Eastern Time",401777
US48,"4/20/2018, Eastern Time",
US48,"4/21/2018, Eastern Time",360495
US48,"4/21/2018, Eastern Time",
US48,"4/22/2018, Eastern Time",343920
US48,"4/22/2018, Eastern Time",
US48,"4/23/2018, Eastern Time",375801
US48,"4/23/2018, Eastern Time",
US48,"4/24/2018, Eastern Time",373293
US48,"4/24/2018, Eastern Time",
US48,"4/25/2018, Eastern Time",384487
US48,"4/25/2018, Eastern Time",
US48,"4/26/2018, Eastern Time",379988
US48,"4/26/2018, Eastern Time",
US48,"4/27/2018, Eastern Time",383022
US48,"4/27/2018, Eastern Time",
US48,"4/28/2018, Eastern Time",350111
US48,"4/28/2018, Eastern Time",
US48,"4/29/2018, Eastern Time",350120
US48,"4/29/2018, Eastern Time",
US48,"4/30/2018, Eastern Time",385270
US48,"4/30/2018, Eastern Time",
US48,"5/1/2018, Eastern Time",377401
US48,"5/1/2018, Eastern Time",
US48,"5/2/2018, Eastern Time",396239
US48,"5/2/2018, Eastern Time",
US48,"5/3/2018, Eastern Time",436286
US48,"5/3/2018, Eastern Time",
US48,"5/4/2018, Eastern Time",440491
US48,"5/4/2018, Eastern Time",
US48,"5/5/2018, Eastern Time",365748
US48,"5/5/2018, Eastern Time",
US48,"5/6/2018, Eastern Time",349967
US48,"5/6/2018, Eastern Time",
US48,"5/7/2018, Eastern Time",381729
US48,"5/7/2018, Eastern Time",
US48,"5/8/2018, Eastern Time",383618
US48,"5/8/2018, Eastern Time",
US48,"5/9/2018, Eastern Time",390564
US48,"5/9/2018, Eastern Time",
US48,"5/10/2018, Eastern Time",385753
US48,"5/10/2018, Eastern Time",
US48,"5/11/2018, Eastern Time",376041
US48,"5/11/2018, Eastern Time",
US48,"5/12/2018, Eastern Time",352481
US48,"5/12/2018, Eastern Time",
US48,"5/13/2018, Eastern Time",340991
US48,"5/13/2018, Eastern Time",
US48,"5/14/2018, Eastern Time",381274
US48,"5/14/2018, Eastern Time",
US48,"5/15/2018, Eastern Time",407759
US48,"5/15/2018, Eastern Time",
US48,"5/16/2018, Eastern Time",389784
US48,"5/16/2018, Eastern Time",
US48,"5/17/2018, Eastern Time",393588
US48,"5/17/2018, Eastern Time",
US48,"5/18/2018, Eastern Time",380809
US48,"5/18/2018, Eastern Time",
US48,"5/19/2018, Eastern Time",357377
US48,"5/19/2018, Eastern Time",
