Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"1/1/2017, Eastern Time",385445
US48,"1/1/2017, Eastern Time",
US48,"1/2/2017, Eastern Time",417277
US48,"1/2/2017, Eastern Time",
US48,"1/3/2017, Eastern Time",434018
US48,"1/3/2017, Eastern Time",
US48,"1/4/2017, Eastern Time",430935
US48,"1/4/2017, Eastern Time",
US48,"1/5/2017, Eastern Time",459619
US48,"1/5/2017, Eastern Time",
US48,"1/6/2017, Eastern Time",460718
US48,"1/6/2017, Eastern Time",
US48,"1/7/2017, Eastern Time",456004
US48,"1/7/2017, Eastern Time",
US48,"1/8/2017, Eastern Time",457514
US48,"1/8/2017, Eastern Time",
US48,"1/9/2017, Eastern Time",494352
US48,"1/9/2017, Eastern Time",
US48,"1/10/2017, Eastern Time",478950
US48,"1/10/2017, Eastern Time",
US48,"1/11/2017, Eastern Time",432469
US48,"1/11/2017, Eastern Time",
US48,"1/12/2017, Eastern Time",417439
US48,"1/12/2017, Eastern Time",
US48,"1/13/2017, Eastern Time",421976
US48,"1/13/2017, Eastern Time",
US48,"1/14/2017, Eastern Time",422879
US48,"1/14/2017, Eastern Time",
US48,"1/15/2017, Eastern Time",408975
US48,"1/15/2017, Eastern Time",
US48,"1/16/2017, Eastern Time",432161
US48,"1/16/2017, Eastern Time",
US48,"1/17/2017, Eastern Time",438026
US48,"1/17/2017, Eastern Time",
US48,"1/18/2017, Eastern Time",431605
US48,"1/18/2017, Eastern Time",
US48,"1/19/2017, Eastern Time",424152
US48,"1/19/2017, Eastern Time",
US48,"1/20/2017, Eastern Time",422523
US48,"1/20/2017, Eastern Time",
US48,"1/21/2017, Eastern Time",383040
US48,"1/21/2017, Eastern Time",
US48,"1/22/2017, Eastern Time",378763
US48,"1/22/2017, Eastern Time",
US48,"1/23/2017, Eastern Time",429762
US48,"1/23/2017, Eastern Time",
US48,"1/24/2017, Eastern Time",442164
US48,"1/24/2017, Eastern Time",
US48,"1/25/2017, Eastern Time",429639
US48,"1/25/2017, Eastern Time",
US48,"1/26/2017, Eastern Time",425133
US48,"1/26/2017, Eastern Time",
US48,"1/27/2017, Eastern Time",430551
US48,"1/27/2017, Eastern Time",
US48,"1/28/2017, Eastern Time",409650
US48,"1/28/2017, Eastern Time",
US48,"1/29/2017, Eastern Time",399711
US48,"1/29/2017, Eastern Time",
US48,"1/30/2017, Eastern Time",444453
US48,"1/30/2017, Eastern Time",
US48,"1/31/2017, Eastern Time",460011
US48,"1/31/2017, Eastern Time",
US48,"2/1/2017, Eastern Time",440290
US48,"2/1/2017, Eastern Time",
US48,"2/2/2017, Eastern Time",440166
US48,"2/2/2017, Eastern Time",
US48,"2/3/2017, Eastern Time",451249
US48,"2/3/2017, Eastern Time",
US48,"2/4/2017, Eastern Time",427454
US48,"2/4/2017, Eastern Time",
US48,"2/5/2017, Eastern Time",413120
US48,"2/5/2017, Eastern Time",
US48,"2/6/2017, Eastern Time",430754
US48,"2/6/2017, Eastern Time",
US48,"2/7/2017, Eastern Time",439884
US48,"2/7/2017, Eastern Time",
US48,"2/8/2017, Eastern Time",418306
US48,"2/8/2017, Eastern Time",
US48,"2/9/2017, Eastern Time",451054
US48,"2/9/2017, Eastern Time",
US48,"2/10/2017, Eastern Time",463555
US48,"2/10/2017, Eastern Time",
US48,"2/11/2017, Eastern Time",414298
US48,"2/11/2017, Eastern Time",
US48,"2/12/2017, Eastern Time",417647
US48,"2/12/2017, Eastern Time",
US48,"2/13/2017, Eastern Time",446627
US48,"2/13/2017, Eastern Time",
US48,"2/14/2017, Eastern Time",439650
US48,"2/14/2017, Eastern Time",
US48,"2/15/2017, Eastern Time",433435
US48,"2/15/2017, Eastern Time",
US48,"2/16/2017, Eastern Time",444801
US48,"2/16/2017, Eastern Time",
US48,"2/17/2017, Eastern Time",436756
US48,"2/17/2017, Eastern Time",
US48,"2/18/2017, Eastern Time",387438
US48,"2/18/2017, Eastern Time",
US48,"2/19/2017, Eastern Time",362575
US48,"2/19/2017, Eastern Time",
US48,"2/20/2017, Eastern Time",391285
US48,"2/20/2017, Eastern Time",
US48,"2/21/2017, Eastern Time",415340
US48,"2/21/2017, Eastern Time",
US48,"2/22/2017, Eastern Time",401145
US48,"2/22/2017, Eastern Time",
US48,"2/23/2017, Eastern Time",393272
US48,"2/23/2017, Eastern Time",
US48,"2/24/2017, Eastern Time",386221
US48,"2/24/2017, Eastern Time",
US48,"2/25/2017, Eastern Time",363367
US48,"2/25/2017, Eastern Time",
US48,"2/26/2017, Eastern Time",380317
US48,"2/26/2017, Eastern Time",
US48,"2/27/2017, Eastern Time",413512
US48,"2/27/2017, Eastern Time",
US48,"2/28/2017, Eastern Time",402352
US48,"2/28/2017, Eastern Time",
US48,"3/1/2017, Eastern Time",396230
US48,"3/1/2017, Eastern Time",
US48,"3/2/2017, Eastern Time",409962
US48,"3/2/2017, Eastern Time",
US48,"3/3/2017, Eastern Time",433326
US48,"3/3/2017, Eastern Time",
US48,"3/4/2017, Eastern Time",430840
