Time Stamp,Time Zone,Fuel Category,Gen MWh
11/21/2016 00:05:00,EST,Dual Fuel,1493.0
11/21/2016 00:05:00,EST,Natural Gas,2041.0
11/21/2016 00:05:00,EST,Nuclear,5087.0
11/21/2016 00:05:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:05:00,EST,Other Renewables,282.0
11/21/2016 00:05:00,EST,Wind,1523.0
11/21/2016 00:05:00,EST,Hydro,2176.0
11/21/2016 00:10:00,EST,Dual Fuel,1464.0
11/21/2016 00:10:00,EST,Natural Gas,2026.0
11/21/2016 00:10:00,EST,Nuclear,5086.0
11/21/2016 00:10:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:10:00,EST,Other Renewables,283.0
11/21/2016 00:10:00,EST,Wind,1519.0
11/21/2016 00:10:00,EST,Hydro,2184.0
11/21/2016 00:15:00,EST,Dual Fuel,1546.0
11/21/2016 00:15:00,EST,Natural Gas,2006.0
11/21/2016 00:15:00,EST,Nuclear,5088.0
11/21/2016 00:15:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:15:00,EST,Other Renewables,283.0
11/21/2016 00:15:00,EST,Wind,1511.0
11/21/2016 00:15:00,EST,Hydro,2093.0
11/21/2016 00:20:00,EST,Dual Fuel,1617.0
11/21/2016 00:20:00,EST,Natural Gas,1973.0
11/21/2016 00:20:00,EST,Nuclear,5087.0
11/21/2016 00:20:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:20:00,EST,Other Renewables,284.0
11/21/2016 00:20:00,EST,Wind,1516.0
11/21/2016 00:20:00,EST,Hydro,2023.0
11/21/2016 00:25:00,EST,Dual Fuel,1712.0
11/21/2016 00:25:00,EST,Natural Gas,1981.0
11/21/2016 00:25:00,EST,Nuclear,5087.0
11/21/2016 00:25:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:25:00,EST,Other Renewables,280.0
11/21/2016 00:25:00,EST,Wind,1509.0
11/21/2016 00:25:00,EST,Hydro,1945.0
11/21/2016 00:30:00,EST,Dual Fuel,1630.0
11/21/2016 00:30:00,EST,Natural Gas,1993.0
11/21/2016 00:30:00,EST,Nuclear,5086.0
11/21/2016 00:30:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:30:00,EST,Other Renewables,279.0
11/21/2016 00:30:00,EST,Wind,1503.0
11/21/2016 00:30:00,EST,Hydro,1937.0
11/21/2016 00:35:00,EST,Dual Fuel,1560.0
11/21/2016 00:35:00,EST,Natural Gas,1979.0
11/21/2016 00:35:00,EST,Nuclear,5088.0
11/21/2016 00:35:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:35:00,EST,Other Renewables,273.0
11/21/2016 00:35:00,EST,Wind,1510.0
11/21/2016 00:35:00,EST,Hydro,2012.0
11/21/2016 00:40:00,EST,Dual Fuel,1538.0
11/21/2016 00:40:00,EST,Natural Gas,1987.0
11/21/2016 00:40:00,EST,Nuclear,5087.0
11/21/2016 00:40:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:40:00,EST,Other Renewables,271.0
11/21/2016 00:40:00,EST,Wind,1504.0
11/21/2016 00:40:00,EST,Hydro,1986.0
11/21/2016 00:45:00,EST,Dual Fuel,1521.0
11/21/2016 00:45:00,EST,Natural Gas,1988.0
11/21/2016 00:45:00,EST,Nuclear,5087.0
11/21/2016 00:45:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:45:00,EST,Other Renewables,284.0
11/21/2016 00:45:00,EST,Wind,1508.0
11/21/2016 00:45:00,EST,Hydro,1982.0
11/21/2016 00:50:00,EST,Dual Fuel,1509.0
11/21/2016 00:50:00,EST,Natural Gas,1983.0
11/21/2016 00:50:00,EST,Nuclear,5086.0
11/21/2016 00:50:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:50:00,EST,Other Renewables,285.0
11/21/2016 00:50:00,EST,Wind,1502.0
11/21/2016 00:50:00,EST,Hydro,1945.0
11/21/2016 00:55:00,EST,Dual Fuel,1495.0
11/21/2016 00:55:00,EST,Natural Gas,1974.0
11/21/2016 00:55:00,EST,Nuclear,5088.0
11/21/2016 00:55:00,EST,Other Fossil Fuels,0.0
11/21/2016 00:55:00,EST,Other Renewables,288.0
11/21/2016 00:55:00,EST,Wind,1502.0
11/21/2016 00:55:00,EST,Hydro,1933.0
11/21/2016 01:00:00,EST,Dual Fuel,1505.0
11/21/2016 01:00:00,EST,Natural Gas,1967.0
11/21/2016 01:00:00,EST,Nuclear,5088.0
11/21/2016 01:00:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:00:00,EST,Other Renewables,283.0
11/21/2016 01:00:00,EST,Wind,1493.0
11/21/2016 01:00:00,EST,Hydro,1917.0
11/21/2016 01:05:00,EST,Dual Fuel,1547.0
11/21/2016 01:05:00,EST,Natural Gas,1958.0
11/21/2016 01:05:00,EST,Nuclear,5088.0
11/21/2016 01:05:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:05:00,EST,Other Renewables,285.0
11/21/2016 01:05:00,EST,Wind,1484.0
11/21/2016 01:05:00,EST,Hydro,1871.0
11/21/2016 01:10:00,EST,Dual Fuel,1582.0
11/21/2016 01:10:00,EST,Natural Gas,1954.0
11/21/2016 01:10:00,EST,Nuclear,5086.0
11/21/2016 01:10:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:10:00,EST,Other Renewables,285.0
11/21/2016 01:10:00,EST,Wind,1483.0
11/21/2016 01:10:00,EST,Hydro,1839.0
11/21/2016 01:15:00,EST,Dual Fuel,1615.0
11/21/2016 01:15:00,EST,Natural Gas,1962.0
11/21/2016 01:15:00,EST,Nuclear,5088.0
11/21/2016 01:15:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:15:00,EST,Other Renewables,283.0
11/21/2016 01:15:00,EST,Wind,1474.0
11/21/2016 01:15:00,EST,Hydro,1839.0
11/21/2016 01:20:00,EST,Dual Fuel,1690.0
11/21/2016 01:20:00,EST,Natural Gas,1971.0
11/21/2016 01:20:00,EST,Nuclear,5088.0
11/21/2016 01:20:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:20:00,EST,Other Renewables,287.0
11/21/2016 01:20:00,EST,Wind,1470.0
11/21/2016 01:20:00,EST,Hydro,1875.0
11/21/2016 01:25:00,EST,Dual Fuel,1609.0
11/21/2016 01:25:00,EST,Natural Gas,1957.0
11/21/2016 01:25:00,EST,Nuclear,5088.0
11/21/2016 01:25:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:25:00,EST,Other Renewables,288.0
11/21/2016 01:25:00,EST,Wind,1464.0
11/21/2016 01:25:00,EST,Hydro,1819.0
11/21/2016 01:30:00,EST,Dual Fuel,1686.0
11/21/2016 01:30:00,EST,Natural Gas,1955.0
11/21/2016 01:30:00,EST,Nuclear,5088.0
11/21/2016 01:30:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:30:00,EST,Other Renewables,286.0
11/21/2016 01:30:00,EST,Wind,1436.0
11/21/2016 01:30:00,EST,Hydro,1750.0
11/21/2016 01:35:00,EST,Dual Fuel,1743.0
11/21/2016 01:35:00,EST,Natural Gas,1955.0
11/21/2016 01:35:00,EST,Nuclear,5079.0
11/21/2016 01:35:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:35:00,EST,Other Renewables,285.0
11/21/2016 01:35:00,EST,Wind,1420.0
11/21/2016 01:35:00,EST,Hydro,1700.0
11/21/2016 01:40:00,EST,Dual Fuel,1754.0
11/21/2016 01:40:00,EST,Natural Gas,1955.0
11/21/2016 01:40:00,EST,Nuclear,5071.0
11/21/2016 01:40:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:40:00,EST,Other Renewables,283.0
11/21/2016 01:40:00,EST,Wind,1395.0
11/21/2016 01:40:00,EST,Hydro,1661.0
11/21/2016 01:45:00,EST,Dual Fuel,1773.0
11/21/2016 01:45:00,EST,Natural Gas,1960.0
11/21/2016 01:45:00,EST,Nuclear,5070.0
11/21/2016 01:45:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:45:00,EST,Other Renewables,285.0
11/21/2016 01:45:00,EST,Wind,1387.0
11/21/2016 01:45:00,EST,Hydro,1656.0
11/21/2016 01:50:00,EST,Dual Fuel,1710.0
11/21/2016 01:50:00,EST,Natural Gas,1961.0
11/21/2016 01:50:00,EST,Nuclear,5069.0
11/21/2016 01:50:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:50:00,EST,Other Renewables,282.0
11/21/2016 01:50:00,EST,Wind,1379.0
11/21/2016 01:50:00,EST,Hydro,1727.0
11/21/2016 01:55:00,EST,Dual Fuel,1598.0
11/21/2016 01:55:00,EST,Natural Gas,1957.0
11/21/2016 01:55:00,EST,Nuclear,5069.0
11/21/2016 01:55:00,EST,Other Fossil Fuels,0.0
11/21/2016 01:55:00,EST,Other Renewables,282.0
11/21/2016 01:55:00,EST,Wind,1364.0
11/21/2016 01:55:00,EST,Hydro,1684.0
11/21/2016 02:00:00,EST,Dual Fuel,1593.0
11/21/2016 02:00:00,EST,Natural Gas,1964.0
11/21/2016 02:00:00,EST,Nuclear,5085.0
11/21/2016 02:00:00,EST,Other Fossil Fuels,0.0
11/21/2016 02:00:00,EST,Other Renewables,285.0
11/21/2016 02:00:00,EST,Wind,1355.0
11/21/2016 02:00:00,EST,Hydro,1661.0
11/21/2016 02:05:00,EST,Dual Fuel,1538.0
11/21/2016 02:05:00,EST,Natural Gas,1979.0
11/21/2016 02:05:00,EST,Nuclear,5089.0
11/21/2016 02:05:00,EST,Other Fossil Fuels,0.0
11/21/2016 02:05:00,EST,Other Renewables,285.0
11/21/2016 02:05:00,EST,Wind,1361.0
11/21/2016 02:05:00,EST,Hydro,1738.0
11/21/2016 02:10:00,EST,Dual Fuel,1513.0
11/21/2016 02:10:00,EST,Natural Gas,1978.0
11/21/2016 02:10:00,EST,Nuclear,5082.0
11/21/2016 02:10:00,EST,Other Fossil Fuels,0.0
11/21/2016 02:10:00,EST,Other Renewables,283.0
11/21/2016 02:10:00,EST,Wind,1361.0
11/21/2016 02:10:00,EST,Hydro,1747.0
11/21/2016 02:15:00,EST,Dual Fuel,1539.0
11/21/2016 02:15:00,EST,Natural Gas,1984.0
11/21/2016 02:15:00,EST,Nuclear,5085.0
11/21/2016 02:15:00,EST,Other Fossil Fuels,0.0
11/21/2016 02:15:00,EST,Other Renewables,285.0
11/21/2016 02:15:00,EST,Wind,1360.0
11/21/2016 02:15:00,EST,Hydro,1720.0
11/21/2016 02:20:00,EST,Dual Fuel,1487.0
11/21/2016 02:20:00,EST,Natural Gas,1993.0
11/21/2016 02:20:00,EST,Nuclear,5083.0
11/21/2016 02:20:00,EST,Other Fossil Fuels,0.0
11/21/2016 02:20:00,EST,Other Renewables,281.0
11/21/2016 02:20:00,EST,Wind,1358.0
11/21/2016 02:20:00,EST,Hydro,1720.0
11/21/2016 02:25:00,EST,Dual Fuel,1466.0
11/21/2016 02:25:00,EST,Natural Gas,2000.0
11/21/2016 02:25:00,EST,Nuclear,5084.0
11/21/2016 02:25:00,EST,Other Fossil Fuels,0.0
11/21/2016 02:25:00,EST,Other Renewables,279.0
11/21/2016 02:25:00,EST,Wind,1363.0
11/21/2016 02:25:00,EST,Hydro,1744.0
11/21/2016 02:30:00,EST,Dual Fuel,1458.0
11/21/2016 02:30:00,EST,Natural Gas,2005.0
