Time Stamp,Time Zone,Fuel Category,Gen MWh
01/16/2016 00:05,EST,Dual Fuel,2538.0
01/16/2016 00:05,EST,Hydro,2348.0
01/16/2016 00:05,EST,Natural Gas,1223.0
01/16/2016 00:05,EST,Nuclear,5420.0
01/16/2016 00:05,EST,Other Fossil Fuels,86.0
01/16/2016 00:05,EST,Other Renewables,281.0
01/16/2016 00:05,EST,Wind,865.0
01/16/2016 00:10,EST,Dual Fuel,2476.0
01/16/2016 00:10,EST,Hydro,2274.0
01/16/2016 00:10,EST,Natural Gas,1164.0
01/16/2016 00:10,EST,Nuclear,5420.0
01/16/2016 00:10,EST,Other Fossil Fuels,86.0
01/16/2016 00:10,EST,Other Renewables,277.0
01/16/2016 00:10,EST,Wind,869.0
01/16/2016 00:15,EST,Dual Fuel,2447.0
01/16/2016 00:15,EST,Hydro,2244.0
01/16/2016 00:15,EST,Natural Gas,1182.0
01/16/2016 00:15,EST,Nuclear,5420.0
01/16/2016 00:15,EST,Other Fossil Fuels,87.0
01/16/2016 00:15,EST,Other Renewables,280.0
01/16/2016 00:15,EST,Wind,868.0
01/16/2016 00:20,EST,Dual Fuel,2457.0
01/16/2016 00:20,EST,Hydro,2244.0
01/16/2016 00:20,EST,Natural Gas,1180.0
01/16/2016 00:20,EST,Nuclear,5421.0
01/16/2016 00:20,EST,Other Fossil Fuels,87.0
01/16/2016 00:20,EST,Other Renewables,282.0
01/16/2016 00:20,EST,Wind,863.0
01/16/2016 00:25,EST,Dual Fuel,2467.0
01/16/2016 00:25,EST,Hydro,2238.0
01/16/2016 00:25,EST,Natural Gas,1174.0
01/16/2016 00:25,EST,Nuclear,5422.0
01/16/2016 00:25,EST,Other Fossil Fuels,87.0
01/16/2016 00:25,EST,Other Renewables,285.0
01/16/2016 00:25,EST,Wind,864.0
01/16/2016 00:30,EST,Dual Fuel,2499.0
01/16/2016 00:30,EST,Hydro,2158.0
01/16/2016 00:30,EST,Natural Gas,1165.0
01/16/2016 00:30,EST,Nuclear,5421.0
01/16/2016 00:30,EST,Other Fossil Fuels,87.0
01/16/2016 00:30,EST,Other Renewables,287.0
01/16/2016 00:30,EST,Wind,849.0
01/16/2016 00:35,EST,Dual Fuel,2500.0
01/16/2016 00:35,EST,Hydro,2081.0
01/16/2016 00:35,EST,Natural Gas,1164.0
01/16/2016 00:35,EST,Nuclear,5422.0
01/16/2016 00:35,EST,Other Fossil Fuels,87.0
01/16/2016 00:35,EST,Other Renewables,283.0
01/16/2016 00:35,EST,Wind,843.0
01/16/2016 00:40,EST,Dual Fuel,2474.0
01/16/2016 00:40,EST,Hydro,2043.0
01/16/2016 00:40,EST,Natural Gas,1163.0
01/16/2016 00:40,EST,Nuclear,5421.0
01/16/2016 00:40,EST,Other Fossil Fuels,87.0
01/16/2016 00:40,EST,Other Renewables,281.0
01/16/2016 00:40,EST,Wind,825.0
01/16/2016 00:45,EST,Dual Fuel,2432.0
01/16/2016 00:45,EST,Hydro,1969.0
01/16/2016 00:45,EST,Natural Gas,1159.0
01/16/2016 00:45,EST,Nuclear,5421.0
01/16/2016 00:45,EST,Other Fossil Fuels,86.0
01/16/2016 00:45,EST,Other Renewables,283.0
01/16/2016 00:45,EST,Wind,806.0
01/16/2016 00:50,EST,Dual Fuel,2359.0
01/16/2016 00:50,EST,Hydro,2031.0
01/16/2016 00:50,EST,Natural Gas,1164.0
01/16/2016 00:50,EST,Nuclear,5421.0
01/16/2016 00:50,EST,Other Fossil Fuels,86.0
01/16/2016 00:50,EST,Other Renewables,286.0
01/16/2016 00:50,EST,Wind,774.0
01/16/2016 00:55,EST,Dual Fuel,2306.0
01/16/2016 00:55,EST,Hydro,2084.0
01/16/2016 00:55,EST,Natural Gas,1163.0
01/16/2016 00:55,EST,Nuclear,5420.0
01/16/2016 00:55,EST,Other Fossil Fuels,86.0
01/16/2016 00:55,EST,Other Renewables,284.0
01/16/2016 00:55,EST,Wind,740.0
01/16/2016 01:00,EST,Dual Fuel,2264.0
01/16/2016 01:00,EST,Hydro,2124.0
01/16/2016 01:00,EST,Natural Gas,1163.0
01/16/2016 01:00,EST,Nuclear,5413.0
01/16/2016 01:00,EST,Other Fossil Fuels,86.0
01/16/2016 01:00,EST,Other Renewables,280.0
01/16/2016 01:00,EST,Wind,699.0
01/16/2016 01:05,EST,Dual Fuel,2178.0
01/16/2016 01:05,EST,Hydro,2144.0
01/16/2016 01:05,EST,Natural Gas,1164.0
01/16/2016 01:05,EST,Nuclear,5412.0
01/16/2016 01:05,EST,Other Fossil Fuels,86.0
01/16/2016 01:05,EST,Other Renewables,276.0
