Time Stamp,Time Zone,Fuel Category,Gen MWh
05/20/2016 00:05:00,EDT,Dual Fuel,2485.0
05/20/2016 00:05:00,EDT,Natural Gas,1550.0
05/20/2016 00:05:00,EDT,Nuclear,4392.0
05/20/2016 00:05:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:05:00,EDT,Other Renewables,301.0
05/20/2016 00:05:00,EDT,Wind,104.0
05/20/2016 00:05:00,EDT,Hydro,2714.0
05/20/2016 00:10:00,EDT,Dual Fuel,2411.0
05/20/2016 00:10:00,EDT,Natural Gas,1571.0
05/20/2016 00:10:00,EDT,Nuclear,4391.0
05/20/2016 00:10:00,EDT,Other Fossil Fuels,144.0
05/20/2016 00:10:00,EDT,Other Renewables,299.0
05/20/2016 00:10:00,EDT,Wind,108.0
05/20/2016 00:10:00,EDT,Hydro,2750.0
05/20/2016 00:15:00,EDT,Dual Fuel,2363.0
05/20/2016 00:15:00,EDT,Natural Gas,1568.0
05/20/2016 00:15:00,EDT,Nuclear,4395.0
05/20/2016 00:15:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:15:00,EDT,Other Renewables,300.0
05/20/2016 00:15:00,EDT,Wind,111.0
05/20/2016 00:15:00,EDT,Hydro,2745.0
05/20/2016 00:20:00,EDT,Dual Fuel,2293.0
05/20/2016 00:20:00,EDT,Natural Gas,1588.0
05/20/2016 00:20:00,EDT,Nuclear,4392.0
05/20/2016 00:20:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:20:00,EDT,Other Renewables,306.0
05/20/2016 00:20:00,EDT,Wind,116.0
05/20/2016 00:20:00,EDT,Hydro,2776.0
05/20/2016 00:25:00,EDT,Dual Fuel,2248.0
05/20/2016 00:25:00,EDT,Natural Gas,1576.0
05/20/2016 00:25:00,EDT,Nuclear,4390.0
05/20/2016 00:25:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:25:00,EDT,Other Renewables,304.0
05/20/2016 00:25:00,EDT,Wind,120.0
05/20/2016 00:25:00,EDT,Hydro,2769.0
05/20/2016 00:30:00,EDT,Dual Fuel,2240.0
05/20/2016 00:30:00,EDT,Natural Gas,1566.0
05/20/2016 00:30:00,EDT,Nuclear,4394.0
05/20/2016 00:30:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:30:00,EDT,Other Renewables,303.0
05/20/2016 00:30:00,EDT,Wind,128.0
05/20/2016 00:30:00,EDT,Hydro,2754.0
05/20/2016 00:35:00,EDT,Dual Fuel,2252.0
05/20/2016 00:35:00,EDT,Natural Gas,1581.0
05/20/2016 00:35:00,EDT,Nuclear,4393.0
05/20/2016 00:35:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:35:00,EDT,Other Renewables,302.0
05/20/2016 00:35:00,EDT,Wind,137.0
05/20/2016 00:35:00,EDT,Hydro,2763.0
05/20/2016 00:40:00,EDT,Dual Fuel,2291.0
05/20/2016 00:40:00,EDT,Natural Gas,1600.0
05/20/2016 00:40:00,EDT,Nuclear,4390.0
05/20/2016 00:40:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:40:00,EDT,Other Renewables,295.0
05/20/2016 00:40:00,EDT,Wind,147.0
05/20/2016 00:40:00,EDT,Hydro,2794.0
05/20/2016 00:45:00,EDT,Dual Fuel,2267.0
05/20/2016 00:45:00,EDT,Natural Gas,1589.0
05/20/2016 00:45:00,EDT,Nuclear,4391.0
05/20/2016 00:45:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:45:00,EDT,Other Renewables,300.0
05/20/2016 00:45:00,EDT,Wind,154.0
05/20/2016 00:45:00,EDT,Hydro,2766.0
05/20/2016 00:50:00,EDT,Dual Fuel,2194.0
05/20/2016 00:50:00,EDT,Natural Gas,1567.0
05/20/2016 00:50:00,EDT,Nuclear,4392.0
05/20/2016 00:50:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:50:00,EDT,Other Renewables,301.0
05/20/2016 00:50:00,EDT,Wind,160.0
05/20/2016 00:50:00,EDT,Hydro,2723.0
05/20/2016 00:55:00,EDT,Dual Fuel,2133.0
05/20/2016 00:55:00,EDT,Natural Gas,1565.0
05/20/2016 00:55:00,EDT,Nuclear,4393.0
05/20/2016 00:55:00,EDT,Other Fossil Fuels,145.0
05/20/2016 00:55:00,EDT,Other Renewables,298.0
05/20/2016 00:55:00,EDT,Wind,163.0
05/20/2016 00:55:00,EDT,Hydro,2738.0
05/20/2016 01:00:00,EDT,Dual Fuel,2051.0
05/20/2016 01:00:00,EDT,Natural Gas,1551.0
05/20/2016 01:00:00,EDT,Nuclear,4391.0
05/20/2016 01:00:00,EDT,Other Fossil Fuels,145.0
05/20/2016 01:00:00,EDT,Other Renewables,298.0
05/20/2016 01:00:00,EDT,Wind,165.0
05/20/2016 01:00:00,EDT,Hydro,2751.0
05/20/2016 01:05:00,EDT,Dual Fuel,1895.0
05/20/2016 01:05:00,EDT,Natural Gas,1555.0
05/20/2016 01:05:00,EDT,Nuclear,4392.0
05/20/2016 01:05:00,EDT,Other Fossil Fuels,145.0
05/20/2016 01:05:00,EDT,Other Renewables,303.0
05/20/2016 01:05:00,EDT,Wind,166.0
05/20/2016 01:05:00,EDT,Hydro,2771.0
05/20/2016 01:10:00,EDT,Dual Fuel,1855.0
05/20/2016 01:10:00,EDT,Natural Gas,1559.0
05/20/2016 01:10:00,EDT,Nuclear,4393.0
