Time Stamp,Time Zone,Fuel Category,Gen MWh
04/16/2016 00:05:00,EDT,Dual Fuel,2849.0
04/16/2016 00:05:00,EDT,Natural Gas,1853.0
04/16/2016 00:05:00,EDT,Nuclear,3104.0
04/16/2016 00:05:00,EDT,Other Fossil Fuels,79.0
04/16/2016 00:05:00,EDT,Other Renewables,327.0
04/16/2016 00:05:00,EDT,Wind,397.0
04/16/2016 00:05:00,EDT,Hydro,2662.0
04/16/2016 00:10:00,EDT,Dual Fuel,2768.0
04/16/2016 00:10:00,EDT,Natural Gas,1696.0
04/16/2016 00:10:00,EDT,Nuclear,3104.0
04/16/2016 00:10:00,EDT,Other Fossil Fuels,79.0
04/16/2016 00:10:00,EDT,Other Renewables,319.0
04/16/2016 00:10:00,EDT,Wind,385.0
04/16/2016 00:10:00,EDT,Hydro,2750.0
04/16/2016 00:15:00,EDT,Dual Fuel,2717.0
04/16/2016 00:15:00,EDT,Natural Gas,1603.0
04/16/2016 00:15:00,EDT,Nuclear,3103.0
04/16/2016 00:15:00,EDT,Other Fossil Fuels,79.0
04/16/2016 00:15:00,EDT,Other Renewables,319.0
04/16/2016 00:15:00,EDT,Wind,373.0
04/16/2016 00:15:00,EDT,Hydro,2772.0
04/16/2016 00:20:00,EDT,Dual Fuel,2689.0
04/16/2016 00:20:00,EDT,Natural Gas,1576.0
04/16/2016 00:20:00,EDT,Nuclear,3104.0
04/16/2016 00:20:00,EDT,Other Fossil Fuels,76.0
04/16/2016 00:20:00,EDT,Other Renewables,318.0
04/16/2016 00:20:00,EDT,Wind,359.0
04/16/2016 00:20:00,EDT,Hydro,2825.0
04/16/2016 00:25:00,EDT,Dual Fuel,2648.0
04/16/2016 00:25:00,EDT,Natural Gas,1550.0
04/16/2016 00:25:00,EDT,Nuclear,3105.0
04/16/2016 00:25:00,EDT,Other Fossil Fuels,73.0
04/16/2016 00:25:00,EDT,Other Renewables,319.0
04/16/2016 00:25:00,EDT,Wind,342.0
04/16/2016 00:25:00,EDT,Hydro,2853.0
04/16/2016 00:30:00,EDT,Dual Fuel,2551.0
04/16/2016 00:30:00,EDT,Natural Gas,1522.0
04/16/2016 00:30:00,EDT,Nuclear,3105.0
04/16/2016 00:30:00,EDT,Other Fossil Fuels,71.0
04/16/2016 00:30:00,EDT,Other Renewables,317.0
04/16/2016 00:30:00,EDT,Wind,324.0
04/16/2016 00:30:00,EDT,Hydro,2860.0
04/16/2016 00:35:00,EDT,Dual Fuel,2466.0
04/16/2016 00:35:00,EDT,Natural Gas,1490.0
04/16/2016 00:35:00,EDT,Nuclear,3105.0
04/16/2016 00:35:00,EDT,Other Fossil Fuels,52.0
04/16/2016 00:35:00,EDT,Other Renewables,317.0
04/16/2016 00:35:00,EDT,Wind,315.0
04/16/2016 00:35:00,EDT,Hydro,2994.0
04/16/2016 00:40:00,EDT,Dual Fuel,2437.0
04/16/2016 00:40:00,EDT,Natural Gas,1469.0
04/16/2016 00:40:00,EDT,Nuclear,3105.0
04/16/2016 00:40:00,EDT,Other Fossil Fuels,48.0
04/16/2016 00:40:00,EDT,Other Renewables,316.0
04/16/2016 00:40:00,EDT,Wind,309.0
04/16/2016 00:40:00,EDT,Hydro,3016.0
04/16/2016 00:45:00,EDT,Dual Fuel,2450.0
04/16/2016 00:45:00,EDT,Natural Gas,1450.0
04/16/2016 00:45:00,EDT,Nuclear,3104.0
04/16/2016 00:45:00,EDT,Other Fossil Fuels,45.0
04/16/2016 00:45:00,EDT,Other Renewables,324.0
04/16/2016 00:45:00,EDT,Wind,307.0
04/16/2016 00:45:00,EDT,Hydro,3004.0
04/16/2016 00:50:00,EDT,Dual Fuel,2426.0
04/16/2016 00:50:00,EDT,Natural Gas,1446.0
04/16/2016 00:50:00,EDT,Nuclear,3104.0
04/16/2016 00:50:00,EDT,Other Fossil Fuels,41.0
04/16/2016 00:50:00,EDT,Other Renewables,326.0
04/16/2016 00:50:00,EDT,Wind,307.0
04/16/2016 00:50:00,EDT,Hydro,2902.0
04/16/2016 00:55:00,EDT,Dual Fuel,2401.0
04/16/2016 00:55:00,EDT,Natural Gas,1449.0
04/16/2016 00:55:00,EDT,Nuclear,3104.0
04/16/2016 00:55:00,EDT,Other Fossil Fuels,38.0
04/16/2016 00:55:00,EDT,Other Renewables,321.0
04/16/2016 00:55:00,EDT,Wind,308.0
04/16/2016 00:55:00,EDT,Hydro,2794.0
04/16/2016 01:00:00,EDT,Dual Fuel,2429.0
04/16/2016 01:00:00,EDT,Natural Gas,1464.0
04/16/2016 01:00:00,EDT,Nuclear,3104.0
04/16/2016 01:00:00,EDT,Other Fossil Fuels,37.0
04/16/2016 01:00:00,EDT,Other Renewables,320.0
04/16/2016 01:00:00,EDT,Wind,312.0
04/16/2016 01:00:00,EDT,Hydro,2684.0
04/16/2016 01:05:00,EDT,Dual Fuel,2477.0
04/16/2016 01:05:00,EDT,Natural Gas,1482.0
04/16/2016 01:05:00,EDT,Nuclear,3104.0
04/16/2016 01:05:00,EDT,Other Fossil Fuels,31.0
04/16/2016 01:05:00,EDT,Other Renewables,321.0
04/16/2016 01:05:00,EDT,Wind,314.0
04/16/2016 01:05:00,EDT,Hydro,2723.0
04/16/2016 01:10:00,EDT,Dual Fuel,2497.0
04/16/2016 01:10:00,EDT,Natural Gas,1485.0
04/16/2016 01:10:00,EDT,Nuclear,3104.0
04/16/2016 01:10:00,EDT,Other Fossil Fuels,30.0
04/16/2016 01:10:00,EDT,Other Renewables,329.0
04/16/2016 01:10:00,EDT,Wind,311.0
04/16/2016 01:10:00,EDT,Hydro,2670.0
04/16/2016 01:15:00,EDT,Dual Fuel,2488.0
04/16/2016 01:15:00,EDT,Natural Gas,1484.0
04/16/2016 01:15:00,EDT,Nuclear,3104.0
04/16/2016 01:15:00,EDT,Other Fossil Fuels,17.0
04/16/2016 01:15:00,EDT,Other Renewables,320.0
04/16/2016 01:15:00,EDT,Wind,305.0
04/16/2016 01:15:00,EDT,Hydro,2642.0
04/16/2016 01:20:00,EDT,Dual Fuel,2511.0
04/16/2016 01:20:00,EDT,Natural Gas,1483.0
