Time Stamp,Time Zone,Fuel Category,Gen MWh
07/24/2016 00:05:00,EDT,Dual Fuel,5069.0
07/24/2016 00:05:00,EDT,Natural Gas,4265.0
07/24/2016 00:05:00,EDT,Nuclear,5098.0
07/24/2016 00:05:00,EDT,Other Fossil Fuels,738.0
07/24/2016 00:05:00,EDT,Other Renewables,297.0
07/24/2016 00:05:00,EDT,Wind,112.0
07/24/2016 00:05:00,EDT,Hydro,1805.0
07/24/2016 00:10:00,EDT,Dual Fuel,4941.0
07/24/2016 00:10:00,EDT,Natural Gas,4179.0
07/24/2016 00:10:00,EDT,Nuclear,5098.0
07/24/2016 00:10:00,EDT,Other Fossil Fuels,719.0
07/24/2016 00:10:00,EDT,Other Renewables,294.0
07/24/2016 00:10:00,EDT,Wind,108.0
07/24/2016 00:10:00,EDT,Hydro,1821.0
07/24/2016 00:15:00,EDT,Dual Fuel,4845.0
07/24/2016 00:15:00,EDT,Natural Gas,4156.0
07/24/2016 00:15:00,EDT,Nuclear,5097.0
07/24/2016 00:15:00,EDT,Other Fossil Fuels,711.0
07/24/2016 00:15:00,EDT,Other Renewables,297.0
07/24/2016 00:15:00,EDT,Wind,107.0
07/24/2016 00:15:00,EDT,Hydro,1818.0
07/24/2016 00:20:00,EDT,Dual Fuel,4697.0
07/24/2016 00:20:00,EDT,Natural Gas,4126.0
07/24/2016 00:20:00,EDT,Nuclear,5094.0
07/24/2016 00:20:00,EDT,Other Fossil Fuels,712.0
07/24/2016 00:20:00,EDT,Other Renewables,296.0
07/24/2016 00:20:00,EDT,Wind,107.0
07/24/2016 00:20:00,EDT,Hydro,1819.0
07/24/2016 00:25:00,EDT,Dual Fuel,4478.0
07/24/2016 00:25:00,EDT,Natural Gas,4116.0
07/24/2016 00:25:00,EDT,Nuclear,5094.0
07/24/2016 00:25:00,EDT,Other Fossil Fuels,721.0
07/24/2016 00:25:00,EDT,Other Renewables,297.0
07/24/2016 00:25:00,EDT,Wind,100.0
07/24/2016 00:25:00,EDT,Hydro,1819.0
07/24/2016 00:30:00,EDT,Dual Fuel,4385.0
07/24/2016 00:30:00,EDT,Natural Gas,4157.0
07/24/2016 00:30:00,EDT,Nuclear,5094.0
07/24/2016 00:30:00,EDT,Other Fossil Fuels,741.0
07/24/2016 00:30:00,EDT,Other Renewables,295.0
07/24/2016 00:30:00,EDT,Wind,97.0
07/24/2016 00:30:00,EDT,Hydro,1821.0
07/24/2016 00:35:00,EDT,Dual Fuel,4374.0
07/24/2016 00:35:00,EDT,Natural Gas,4226.0
07/24/2016 00:35:00,EDT,Nuclear,5096.0
07/24/2016 00:35:00,EDT,Other Fossil Fuels,757.0
07/24/2016 00:35:00,EDT,Other Renewables,297.0
07/24/2016 00:35:00,EDT,Wind,93.0
07/24/2016 00:35:00,EDT,Hydro,1830.0
07/24/2016 00:40:00,EDT,Dual Fuel,4313.0
07/24/2016 00:40:00,EDT,Natural Gas,4223.0
07/24/2016 00:40:00,EDT,Nuclear,5095.0
07/24/2016 00:40:00,EDT,Other Fossil Fuels,767.0
07/24/2016 00:40:00,EDT,Other Renewables,294.0
07/24/2016 00:40:00,EDT,Wind,92.0
07/24/2016 00:40:00,EDT,Hydro,1802.0
07/24/2016 00:45:00,EDT,Dual Fuel,4218.0
07/24/2016 00:45:00,EDT,Natural Gas,4240.0
07/24/2016 00:45:00,EDT,Nuclear,5094.0
07/24/2016 00:45:00,EDT,Other Fossil Fuels,767.0
07/24/2016 00:45:00,EDT,Other Renewables,295.0
07/24/2016 00:45:00,EDT,Wind,91.0
07/24/2016 00:45:00,EDT,Hydro,1820.0
07/24/2016 00:50:00,EDT,Dual Fuel,4138.0
07/24/2016 00:50:00,EDT,Natural Gas,4239.0
07/24/2016 00:50:00,EDT,Nuclear,5093.0
07/24/2016 00:50:00,EDT,Other Fossil Fuels,773.0
07/24/2016 00:50:00,EDT,Other Renewables,297.0
07/24/2016 00:50:00,EDT,Wind,98.0
07/24/2016 00:50:00,EDT,Hydro,1813.0
07/24/2016 00:55:00,EDT,Dual Fuel,4034.0
07/24/2016 00:55:00,EDT,Natural Gas,4249.0
07/24/2016 00:55:00,EDT,Nuclear,5093.0
07/24/2016 00:55:00,EDT,Other Fossil Fuels,788.0
07/24/2016 00:55:00,EDT,Other Renewables,295.0
07/24/2016 00:55:00,EDT,Wind,106.0
07/24/2016 00:55:00,EDT,Hydro,1813.0
07/24/2016 01:00:00,EDT,Dual Fuel,3904.0
07/24/2016 01:00:00,EDT,Natural Gas,4240.0
07/24/2016 01:00:00,EDT,Nuclear,5093.0
07/24/2016 01:00:00,EDT,Other Fossil Fuels,787.0
07/24/2016 01:00:00,EDT,Other Renewables,296.0
07/24/2016 01:00:00,EDT,Wind,108.0
07/24/2016 01:00:00,EDT,Hydro,1820.0
07/24/2016 01:05:00,EDT,Dual Fuel,3803.0
07/24/2016 01:05:00,EDT,Natural Gas,4181.0
07/24/2016 01:05:00,EDT,Nuclear,5093.0
07/24/2016 01:05:00,EDT,Other Fossil Fuels,779.0
07/24/2016 01:05:00,EDT,Other Renewables,296.0
07/24/2016 01:05:00,EDT,Wind,109.0
07/24/2016 01:05:00,EDT,Hydro,1814.0
07/24/2016 01:10:00,EDT,Dual Fuel,3734.0
07/24/2016 01:10:00,EDT,Natural Gas,4115.0
07/24/2016 01:10:00,EDT,Nuclear,5096.0
07/24/2016 01:10:00,EDT,Other Fossil Fuels,775.0
07/24/2016 01:10:00,EDT,Other Renewables,298.0
07/24/2016 01:10:00,EDT,Wind,106.0
07/24/2016 01:10:00,EDT,Hydro,1820.0
07/24/2016 01:15:00,EDT,Dual Fuel,3700.0
07/24/2016 01:15:00,EDT,Natural Gas,4092.0
07/24/2016 01:15:00,EDT,Nuclear,5096.0
07/24/2016 01:15:00,EDT,Other Fossil Fuels,760.0
07/24/2016 01:15:00,EDT,Other Renewables,299.0
07/24/2016 01:15:00,EDT,Wind,101.0
07/24/2016 01:15:00,EDT,Hydro,1825.0
07/24/2016 01:20:00,EDT,Dual Fuel,3659.0
07/24/2016 01:20:00,EDT,Natural Gas,4055.0
07/24/2016 01:20:00,EDT,Nuclear,5098.0
07/24/2016 01:20:00,EDT,Other Fossil Fuels,730.0
07/24/2016 01:20:00,EDT,Other Renewables,300.0
07/24/2016 01:20:00,EDT,Wind,105.0
07/24/2016 01:20:00,EDT,Hydro,1818.0
07/24/2016 01:25:00,EDT,Dual Fuel,3625.0
07/24/2016 01:25:00,EDT,Natural Gas,3989.0
07/24/2016 01:25:00,EDT,Nuclear,5100.0
07/24/2016 01:25:00,EDT,Other Fossil Fuels,693.0
07/24/2016 01:25:00,EDT,Other Renewables,300.0
07/24/2016 01:25:00,EDT,Wind,118.0
07/24/2016 01:25:00,EDT,Hydro,1810.0
07/24/2016 01:30:00,EDT,Dual Fuel,3605.0
07/24/2016 01:30:00,EDT,Natural Gas,3943.0
07/24/2016 01:30:00,EDT,Nuclear,5101.0
07/24/2016 01:30:00,EDT,Other Fossil Fuels,660.0
07/24/2016 01:30:00,EDT,Other Renewables,297.0
07/24/2016 01:30:00,EDT,Wind,126.0
07/24/2016 01:30:00,EDT,Hydro,1815.0
07/24/2016 01:35:00,EDT,Dual Fuel,3564.0
07/24/2016 01:35:00,EDT,Natural Gas,3931.0
07/24/2016 01:35:00,EDT,Nuclear,5101.0
07/24/2016 01:35:00,EDT,Other Fossil Fuels,627.0
07/24/2016 01:35:00,EDT,Other Renewables,298.0
07/24/2016 01:35:00,EDT,Wind,114.0
07/24/2016 01:35:00,EDT,Hydro,1816.0
07/24/2016 01:40:00,EDT,Dual Fuel,3511.0
07/24/2016 01:40:00,EDT,Natural Gas,3919.0
07/24/2016 01:40:00,EDT,Nuclear,5103.0
07/24/2016 01:40:00,EDT,Other Fossil Fuels,590.0
07/24/2016 01:40:00,EDT,Other Renewables,298.0
07/24/2016 01:40:00,EDT,Wind,100.0
07/24/2016 01:40:00,EDT,Hydro,1814.0
07/24/2016 01:45:00,EDT,Dual Fuel,3440.0
07/24/2016 01:45:00,EDT,Natural Gas,3889.0
