Time Stamp,Time Zone,Fuel Category,Gen MWh
09/18/2016 00:05:00,EDT,Dual Fuel,3042.0
09/18/2016 00:05:00,EDT,Natural Gas,2313.0
09/18/2016 00:05:00,EDT,Nuclear,4867.0
09/18/2016 00:05:00,EDT,Other Fossil Fuels,70.0
09/18/2016 00:05:00,EDT,Other Renewables,296.0
09/18/2016 00:05:00,EDT,Wind,817.0
09/18/2016 00:05:00,EDT,Hydro,1963.0
09/18/2016 00:10:00,EDT,Dual Fuel,3016.0
09/18/2016 00:10:00,EDT,Natural Gas,2268.0
09/18/2016 00:10:00,EDT,Nuclear,4868.0
09/18/2016 00:10:00,EDT,Other Fossil Fuels,70.0
09/18/2016 00:10:00,EDT,Other Renewables,297.0
09/18/2016 00:10:00,EDT,Wind,845.0
09/18/2016 00:10:00,EDT,Hydro,1896.0
09/18/2016 00:15:00,EDT,Dual Fuel,2948.0
09/18/2016 00:15:00,EDT,Natural Gas,2252.0
09/18/2016 00:15:00,EDT,Nuclear,4866.0
09/18/2016 00:15:00,EDT,Other Fossil Fuels,71.0
09/18/2016 00:15:00,EDT,Other Renewables,295.0
09/18/2016 00:15:00,EDT,Wind,861.0
09/18/2016 00:15:00,EDT,Hydro,1894.0
09/18/2016 00:20:00,EDT,Dual Fuel,2883.0
09/18/2016 00:20:00,EDT,Natural Gas,2258.0
09/18/2016 00:20:00,EDT,Nuclear,4868.0
09/18/2016 00:20:00,EDT,Other Fossil Fuels,70.0
09/18/2016 00:20:00,EDT,Other Renewables,295.0
09/18/2016 00:20:00,EDT,Wind,870.0
09/18/2016 00:20:00,EDT,Hydro,1899.0
09/18/2016 00:25:00,EDT,Dual Fuel,2811.0
09/18/2016 00:25:00,EDT,Natural Gas,2276.0
09/18/2016 00:25:00,EDT,Nuclear,4867.0
09/18/2016 00:25:00,EDT,Other Fossil Fuels,70.0
09/18/2016 00:25:00,EDT,Other Renewables,295.0
09/18/2016 00:25:00,EDT,Wind,870.0
09/18/2016 00:25:00,EDT,Hydro,1895.0
09/18/2016 00:30:00,EDT,Dual Fuel,2816.0
09/18/2016 00:30:00,EDT,Natural Gas,2282.0
09/18/2016 00:30:00,EDT,Nuclear,4868.0
09/18/2016 00:30:00,EDT,Other Fossil Fuels,71.0
09/18/2016 00:30:00,EDT,Other Renewables,296.0
09/18/2016 00:30:00,EDT,Wind,842.0
09/18/2016 00:30:00,EDT,Hydro,1847.0
09/18/2016 00:35:00,EDT,Dual Fuel,2833.0
09/18/2016 00:35:00,EDT,Natural Gas,2287.0
09/18/2016 00:35:00,EDT,Nuclear,4870.0
09/18/2016 00:35:00,EDT,Other Fossil Fuels,71.0
09/18/2016 00:35:00,EDT,Other Renewables,297.0
09/18/2016 00:35:00,EDT,Wind,827.0
09/18/2016 00:35:00,EDT,Hydro,1857.0
09/18/2016 00:40:00,EDT,Dual Fuel,2820.0
09/18/2016 00:40:00,EDT,Natural Gas,2288.0
09/18/2016 00:40:00,EDT,Nuclear,4870.0
09/18/2016 00:40:00,EDT,Other Fossil Fuels,70.0
09/18/2016 00:40:00,EDT,Other Renewables,295.0
09/18/2016 00:40:00,EDT,Wind,803.0
09/18/2016 00:40:00,EDT,Hydro,1903.0
09/18/2016 00:45:00,EDT,Dual Fuel,2829.0
09/18/2016 00:45:00,EDT,Natural Gas,2279.0
09/18/2016 00:45:00,EDT,Nuclear,4869.0
09/18/2016 00:45:00,EDT,Other Fossil Fuels,71.0
09/18/2016 00:45:00,EDT,Other Renewables,296.0
09/18/2016 00:45:00,EDT,Wind,774.0
09/18/2016 00:45:00,EDT,Hydro,1895.0
09/18/2016 00:50:00,EDT,Dual Fuel,2803.0
09/18/2016 00:50:00,EDT,Natural Gas,2268.0
09/18/2016 00:50:00,EDT,Nuclear,4871.0
09/18/2016 00:50:00,EDT,Other Fossil Fuels,71.0
09/18/2016 00:50:00,EDT,Other Renewables,297.0
09/18/2016 00:50:00,EDT,Wind,753.0
09/18/2016 00:50:00,EDT,Hydro,1908.0
09/18/2016 00:55:00,EDT,Dual Fuel,2702.0
09/18/2016 00:55:00,EDT,Natural Gas,2274.0
09/18/2016 00:55:00,EDT,Nuclear,4870.0
09/18/2016 00:55:00,EDT,Other Fossil Fuels,70.0
09/18/2016 00:55:00,EDT,Other Renewables,295.0
