Time Stamp,Time Zone,Fuel Category,Gen MWh
01/02/2016 00:05,EST,Dual Fuel,3140.0
01/02/2016 00:05,EST,Hydro,2335.0
01/02/2016 00:05,EST,Natural Gas,1243.0
01/02/2016 00:05,EST,Nuclear,5424.0
01/02/2016 00:05,EST,Other Fossil Fuels,86.0
01/02/2016 00:05,EST,Other Renewables,295.0
01/02/2016 00:05,EST,Wind,756.0
01/02/2016 00:10,EST,Dual Fuel,2910.0
01/02/2016 00:10,EST,Hydro,2314.0
01/02/2016 00:10,EST,Natural Gas,1241.0
01/02/2016 00:10,EST,Nuclear,5423.0
01/02/2016 00:10,EST,Other Fossil Fuels,86.0
01/02/2016 00:10,EST,Other Renewables,303.0
01/02/2016 00:10,EST,Wind,762.0
01/02/2016 00:15,EST,Dual Fuel,2750.0
01/02/2016 00:15,EST,Hydro,2329.0
01/02/2016 00:15,EST,Natural Gas,1247.0
01/02/2016 00:15,EST,Nuclear,5424.0
01/02/2016 00:15,EST,Other Fossil Fuels,86.0
01/02/2016 00:15,EST,Other Renewables,303.0
01/02/2016 00:15,EST,Wind,767.0
01/02/2016 00:20,EST,Dual Fuel,2696.0
01/02/2016 00:20,EST,Hydro,2244.0
01/02/2016 00:20,EST,Natural Gas,1263.0
01/02/2016 00:20,EST,Nuclear,5424.0
01/02/2016 00:20,EST,Other Fossil Fuels,87.0
01/02/2016 00:20,EST,Other Renewables,302.0
01/02/2016 00:20,EST,Wind,772.0
01/02/2016 00:25,EST,Dual Fuel,2680.0
01/02/2016 00:25,EST,Hydro,2124.0
01/02/2016 00:25,EST,Natural Gas,1271.0
01/02/2016 00:25,EST,Nuclear,5424.0
01/02/2016 00:25,EST,Other Fossil Fuels,87.0
01/02/2016 00:25,EST,Other Renewables,302.0
01/02/2016 00:25,EST,Wind,780.0
01/02/2016 00:30,EST,Dual Fuel,2613.0
01/02/2016 00:30,EST,Hydro,2110.0
01/02/2016 00:30,EST,Natural Gas,1259.0
01/02/2016 00:30,EST,Nuclear,5424.0
01/02/2016 00:30,EST,Other Fossil Fuels,87.0
01/02/2016 00:30,EST,Other Renewables,301.0
01/02/2016 00:30,EST,Wind,789.0
01/02/2016 00:35,EST,Dual Fuel,2660.0
01/02/2016 00:35,EST,Hydro,2083.0
01/02/2016 00:35,EST,Natural Gas,1230.0
01/02/2016 00:35,EST,Nuclear,5422.0
01/02/2016 00:35,EST,Other Fossil Fuels,87.0
01/02/2016 00:35,EST,Other Renewables,300.0
01/02/2016 00:35,EST,Wind,806.0
01/02/2016 00:40,EST,Dual Fuel,2675.0
01/02/2016 00:40,EST,Hydro,2073.0
01/02/2016 00:40,EST,Natural Gas,1222.0
01/02/2016 00:40,EST,Nuclear,5423.0
01/02/2016 00:40,EST,Other Fossil Fuels,87.0
01/02/2016 00:40,EST,Other Renewables,296.0
01/02/2016 00:40,EST,Wind,794.0
01/02/2016 00:45,EST,Dual Fuel,2747.0
01/02/2016 00:45,EST,Hydro,2057.0
01/02/2016 00:45,EST,Natural Gas,1224.0
01/02/2016 00:45,EST,Nuclear,5425.0
01/02/2016 00:45,EST,Other Fossil Fuels,87.0
01/02/2016 00:45,EST,Other Renewables,297.0
01/02/2016 00:45,EST,Wind,784.0
01/02/2016 00:50,EST,Dual Fuel,2850.0
01/02/2016 00:50,EST,Hydro,1961.0
01/02/2016 00:50,EST,Natural Gas,1222.0
01/02/2016 00:50,EST,Nuclear,5423.0
01/02/2016 00:50,EST,Other Fossil Fuels,86.0
01/02/2016 00:50,EST,Other Renewables,298.0
01/02/2016 00:50,EST,Wind,831.0
