Time Stamp,Time Zone,Fuel Category,Gen MWh
09/03/2016 00:05:00,EDT,Dual Fuel,2686.0
09/03/2016 00:05:00,EDT,Natural Gas,2615.0
09/03/2016 00:05:00,EDT,Nuclear,5158.0
09/03/2016 00:05:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:05:00,EDT,Other Renewables,281.0
09/03/2016 00:05:00,EDT,Wind,43.0
09/03/2016 00:05:00,EDT,Hydro,1488.0
09/03/2016 00:10:00,EDT,Dual Fuel,2598.0
09/03/2016 00:10:00,EDT,Natural Gas,2676.0
09/03/2016 00:10:00,EDT,Nuclear,5157.0
09/03/2016 00:10:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:10:00,EDT,Other Renewables,286.0
09/03/2016 00:10:00,EDT,Wind,44.0
09/03/2016 00:10:00,EDT,Hydro,1494.0
09/03/2016 00:15:00,EDT,Dual Fuel,2526.0
09/03/2016 00:15:00,EDT,Natural Gas,2691.0
09/03/2016 00:15:00,EDT,Nuclear,5158.0
09/03/2016 00:15:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:15:00,EDT,Other Renewables,286.0
09/03/2016 00:15:00,EDT,Wind,45.0
09/03/2016 00:15:00,EDT,Hydro,1485.0
09/03/2016 00:20:00,EDT,Dual Fuel,2501.0
09/03/2016 00:20:00,EDT,Natural Gas,2684.0
09/03/2016 00:20:00,EDT,Nuclear,5157.0
09/03/2016 00:20:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:20:00,EDT,Other Renewables,282.0
09/03/2016 00:20:00,EDT,Wind,47.0
09/03/2016 00:20:00,EDT,Hydro,1480.0
09/03/2016 00:25:00,EDT,Dual Fuel,2503.0
09/03/2016 00:25:00,EDT,Natural Gas,2640.0
09/03/2016 00:25:00,EDT,Nuclear,5157.0
09/03/2016 00:25:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:25:00,EDT,Other Renewables,281.0
09/03/2016 00:25:00,EDT,Wind,49.0
09/03/2016 00:25:00,EDT,Hydro,1488.0
09/03/2016 00:30:00,EDT,Dual Fuel,2487.0
09/03/2016 00:30:00,EDT,Natural Gas,2586.0
09/03/2016 00:30:00,EDT,Nuclear,5156.0
09/03/2016 00:30:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:30:00,EDT,Other Renewables,281.0
09/03/2016 00:30:00,EDT,Wind,46.0
09/03/2016 00:30:00,EDT,Hydro,1481.0
09/03/2016 00:35:00,EDT,Dual Fuel,2464.0
09/03/2016 00:35:00,EDT,Natural Gas,2574.0
09/03/2016 00:35:00,EDT,Nuclear,5158.0
09/03/2016 00:35:00,EDT,Other Fossil Fuels,128.0
09/03/2016 00:35:00,EDT,Other Renewables,282.0
09/03/2016 00:35:00,EDT,Wind,46.0
09/03/2016 00:35:00,EDT,Hydro,1485.0
09/03/2016 00:40:00,EDT,Dual Fuel,2444.0
09/03/2016 00:40:00,EDT,Natural Gas,2582.0
09/03/2016 00:40:00,EDT,Nuclear,5160.0
09/03/2016 00:40:00,EDT,Other Fossil Fuels,128.0
09/03/2016 00:40:00,EDT,Other Renewables,285.0
09/03/2016 00:40:00,EDT,Wind,47.0
09/03/2016 00:40:00,EDT,Hydro,1475.0
09/03/2016 00:45:00,EDT,Dual Fuel,2388.0
09/03/2016 00:45:00,EDT,Natural Gas,2631.0
09/03/2016 00:45:00,EDT,Nuclear,5160.0
09/03/2016 00:45:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:45:00,EDT,Other Renewables,286.0
09/03/2016 00:45:00,EDT,Wind,46.0
09/03/2016 00:45:00,EDT,Hydro,1432.0
09/03/2016 00:50:00,EDT,Dual Fuel,2386.0
09/03/2016 00:50:00,EDT,Natural Gas,2650.0
09/03/2016 00:50:00,EDT,Nuclear,5160.0
09/03/2016 00:50:00,EDT,Other Fossil Fuels,127.0
09/03/2016 00:50:00,EDT,Other Renewables,282.0
09/03/2016 00:50:00,EDT,Wind,45.0
09/03/2016 00:50:00,EDT,Hydro,1437.0
09/03/2016 00:55:00,EDT,Dual Fuel,2372.0
09/03/2016 00:55:00,EDT,Natural Gas,2599.0
09/03/2016 00:55:00,EDT,Nuclear,5160.0
09/03/2016 00:55:00,EDT,Other Fossil Fuels,127.0
