Time Stamp,Time Zone,Fuel Category,Gen MWh
08/10/2016 00:05:00,EDT,Dual Fuel,4357.0
08/10/2016 00:05:00,EDT,Natural Gas,4190.0
08/10/2016 00:05:00,EDT,Nuclear,5100.0
08/10/2016 00:05:00,EDT,Other Fossil Fuels,707.0
08/10/2016 00:05:00,EDT,Other Renewables,297.0
08/10/2016 00:05:00,EDT,Wind,678.0
08/10/2016 00:05:00,EDT,Hydro,1938.0
08/10/2016 00:10:00,EDT,Dual Fuel,4238.0
08/10/2016 00:10:00,EDT,Natural Gas,4185.0
08/10/2016 00:10:00,EDT,Nuclear,5100.0
08/10/2016 00:10:00,EDT,Other Fossil Fuels,737.0
08/10/2016 00:10:00,EDT,Other Renewables,296.0
08/10/2016 00:10:00,EDT,Wind,694.0
08/10/2016 00:10:00,EDT,Hydro,1884.0
08/10/2016 00:15:00,EDT,Dual Fuel,4231.0
08/10/2016 00:15:00,EDT,Natural Gas,4202.0
08/10/2016 00:15:00,EDT,Nuclear,5099.0
08/10/2016 00:15:00,EDT,Other Fossil Fuels,741.0
08/10/2016 00:15:00,EDT,Other Renewables,294.0
08/10/2016 00:15:00,EDT,Wind,702.0
08/10/2016 00:15:00,EDT,Hydro,1864.0
08/10/2016 00:20:00,EDT,Dual Fuel,4192.0
08/10/2016 00:20:00,EDT,Natural Gas,4205.0
08/10/2016 00:20:00,EDT,Nuclear,5099.0
08/10/2016 00:20:00,EDT,Other Fossil Fuels,719.0
08/10/2016 00:20:00,EDT,Other Renewables,296.0
08/10/2016 00:20:00,EDT,Wind,709.0
08/10/2016 00:20:00,EDT,Hydro,1868.0
08/10/2016 00:25:00,EDT,Dual Fuel,4138.0
08/10/2016 00:25:00,EDT,Natural Gas,4168.0
08/10/2016 00:25:00,EDT,Nuclear,5099.0
08/10/2016 00:25:00,EDT,Other Fossil Fuels,712.0
08/10/2016 00:25:00,EDT,Other Renewables,300.0
08/10/2016 00:25:00,EDT,Wind,701.0
08/10/2016 00:25:00,EDT,Hydro,1861.0
08/10/2016 00:30:00,EDT,Dual Fuel,4004.0
08/10/2016 00:30:00,EDT,Natural Gas,4139.0
08/10/2016 00:30:00,EDT,Nuclear,5100.0
08/10/2016 00:30:00,EDT,Other Fossil Fuels,707.0
08/10/2016 00:30:00,EDT,Other Renewables,301.0
08/10/2016 00:30:00,EDT,Wind,697.0
08/10/2016 00:30:00,EDT,Hydro,1881.0
08/10/2016 00:35:00,EDT,Dual Fuel,3885.0
08/10/2016 00:35:00,EDT,Natural Gas,4165.0
08/10/2016 00:35:00,EDT,Nuclear,5100.0
08/10/2016 00:35:00,EDT,Other Fossil Fuels,708.0
08/10/2016 00:35:00,EDT,Other Renewables,298.0
08/10/2016 00:35:00,EDT,Wind,696.0
08/10/2016 00:35:00,EDT,Hydro,1898.0
08/10/2016 00:40:00,EDT,Dual Fuel,3803.0
08/10/2016 00:40:00,EDT,Natural Gas,4144.0
08/10/2016 00:40:00,EDT,Nuclear,5100.0
08/10/2016 00:40:00,EDT,Other Fossil Fuels,725.0
08/10/2016 00:40:00,EDT,Other Renewables,297.0
08/10/2016 00:40:00,EDT,Wind,690.0
08/10/2016 00:40:00,EDT,Hydro,1870.0
08/10/2016 00:45:00,EDT,Dual Fuel,3733.0
08/10/2016 00:45:00,EDT,Natural Gas,4138.0
08/10/2016 00:45:00,EDT,Nuclear,5098.0
08/10/2016 00:45:00,EDT,Other Fossil Fuels,744.0
08/10/2016 00:45:00,EDT,Other Renewables,294.0
08/10/2016 00:45:00,EDT,Wind,690.0
08/10/2016 00:45:00,EDT,Hydro,1861.0
08/10/2016 00:50:00,EDT,Dual Fuel,3704.0
08/10/2016 00:50:00,EDT,Natural Gas,4143.0
08/10/2016 00:50:00,EDT,Nuclear,5101.0
08/10/2016 00:50:00,EDT,Other Fossil Fuels,731.0
08/10/2016 00:50:00,EDT,Other Renewables,298.0
08/10/2016 00:50:00,EDT,Wind,698.0
08/10/2016 00:50:00,EDT,Hydro,1859.0
08/10/2016 00:55:00,EDT,Dual Fuel,3638.0
08/10/2016 00:55:00,EDT,Natural Gas,4123.0
08/10/2016 00:55:00,EDT,Nuclear,5099.0
08/10/2016 00:55:00,EDT,Other Fossil Fuels,709.0
08/10/2016 00:55:00,EDT,Other Renewables,297.0
08/10/2016 00:55:00,EDT,Wind,695.0
08/10/2016 00:55:00,EDT,Hydro,1867.0
08/10/2016 01:00:00,EDT,Dual Fuel,3576.0
08/10/2016 01:00:00,EDT,Natural Gas,4040.0
08/10/2016 01:00:00,EDT,Nuclear,5100.0
08/10/2016 01:00:00,EDT,Other Fossil Fuels,703.0
08/10/2016 01:00:00,EDT,Other Renewables,294.0
