Time Stamp,Time Zone,Fuel Category,Gen MWh
03/07/2016 00:05:00,EST,Dual Fuel,3039.0
03/07/2016 00:05:00,EST,Natural Gas,2224.0
03/07/2016 00:05:00,EST,Nuclear,4480.0
03/07/2016 00:05:00,EST,Other Fossil Fuels,0.0
03/07/2016 00:05:00,EST,Other Renewables,308.0
03/07/2016 00:05:00,EST,Wind,1021.0
03/07/2016 00:05:00,EST,Hydro,2649.0
03/07/2016 00:10:00,EST,Dual Fuel,3081.0
03/07/2016 00:10:00,EST,Natural Gas,2109.0
03/07/2016 00:10:00,EST,Nuclear,4384.0
03/07/2016 00:10:00,EST,Other Fossil Fuels,0.0
03/07/2016 00:10:00,EST,Other Renewables,308.0
03/07/2016 00:10:00,EST,Wind,1039.0
03/07/2016 00:10:00,EST,Hydro,2798.0
03/07/2016 00:15:00,EST,Dual Fuel,3147.0
03/07/2016 00:15:00,EST,Natural Gas,2015.0
03/07/2016 00:15:00,EST,Nuclear,4384.0
03/07/2016 00:15:00,EST,Other Fossil Fuels,0.0
03/07/2016 00:15:00,EST,Other Renewables,307.0
03/07/2016 00:15:00,EST,Wind,1054.0
03/07/2016 00:15:00,EST,Hydro,2790.0
03/07/2016 00:20:00,EST,Dual Fuel,3189.0
03/07/2016 00:20:00,EST,Natural Gas,1924.0
03/07/2016 00:20:00,EST,Nuclear,4383.0
03/07/2016 00:20:00,EST,Other Fossil Fuels,0.0
03/07/2016 00:20:00,EST,Other Renewables,304.0
03/07/2016 00:20:00,EST,Wind,1032.0
03/07/2016 00:20:00,EST,Hydro,2868.0
03/07/2016 00:25:00,EST,Dual Fuel,3249.0
03/07/2016 00:25:00,EST,Natural Gas,1922.0
03/07/2016 00:25:00,EST,Nuclear,4384.0
03/07/2016 00:25:00,EST,Other Fossil Fuels,0.0
03/07/2016 00:25:00,EST,Other Renewables,304.0
03/07/2016 00:25:00,EST,Wind,1059.0
03/07/2016 00:25:00,EST,Hydro,2778.0
03/07/2016 00:30:00,EST,Dual Fuel,3103.0
03/07/2016 00:30:00,EST,Natural Gas,1921.0
03/07/2016 00:30:00,EST,Nuclear,4385.0
03/07/2016 00:30:00,EST,Other Fossil Fuels,0.0
03/07/2016 00:30:00,EST,Other Renewables,307.0
03/07/2016 00:30:00,EST,Wind,1095.0
